educacao,ano_adesao,cidade,nivel_pagamento,idade,genero,trabalho_atribuido,experiencia_area_atual,idade_inicial
Bachelors,2017,Bangalore,3,34,Male,No,0,34
Bachelors,2013,Pune,1,28,Female,No,3,25
Bachelors,2014,New Delhi,3,38,Female,No,2,36
Masters,2016,Bangalore,3,27,Male,No,5,22
Masters,2017,Pune,3,24,Male,Yes,2,22
Bachelors,2016,Bangalore,3,22,Male,No,0,22
Bachelors,2015,New Delhi,3,38,Male,No,0,38
Bachelors,2016,Bangalore,3,34,Female,No,2,32
Bachelors,2016,Pune,3,23,Male,No,1,22
Masters,2017,New Delhi,2,37,Male,No,2,35
Masters,2012,Bangalore,3,27,Male,No,5,22
Bachelors,2016,Pune,3,34,Male,No,3,31
Bachelors,2018,Pune,3,32,Male,Yes,5,27
Bachelors,2016,Bangalore,3,39,Male,No,2,37
Bachelors,2012,Bangalore,3,37,Male,No,4,33
Bachelors,2017,Bangalore,1,29,Male,No,3,26
Bachelors,2014,Bangalore,3,34,Female,No,2,32
Bachelors,2014,Pune,3,34,Male,No,4,30
Bachelors,2015,Pune,2,30,Female,No,0,30
Bachelors,2016,New Delhi,2,22,Female,No,0,22
Bachelors,2012,Bangalore,3,37,Male,No,0,37
Masters,2017,New Delhi,2,28,Male,No,4,24
Bachelors,2017,New Delhi,2,36,Male,No,3,33
Bachelors,2015,Bangalore,3,27,Male,Yes,5,22
Bachelors,2017,Bangalore,3,29,Male,No,4,25
Bachelors,2013,Bangalore,3,22,Female,Yes,0,22
Bachelors,2016,Bangalore,3,37,Male,No,2,35
Bachelors,2015,Bangalore,3,23,Male,No,1,22
Bachelors,2013,Pune,2,31,Female,No,2,29
Masters,2017,New Delhi,2,30,Female,No,2,28
PHD,2013,New Delhi,3,25,Male,No,3,22
Bachelors,2014,Bangalore,3,23,Male,No,1,22
Bachelors,2018,Bangalore,3,26,Male,No,4,22
Bachelors,2016,Bangalore,3,40,Male,No,5,35
Bachelors,2017,Pune,2,37,Female,No,0,37
Bachelors,2014,Bangalore,1,30,Female,No,3,27
Bachelors,2012,New Delhi,3,29,Male,No,3,26
Bachelors,2018,New Delhi,2,34,Female,No,0,34
Bachelors,2017,Pune,2,29,Female,No,2,27
Bachelors,2014,Pune,3,30,Male,Yes,4,26
Bachelors,2015,Bangalore,3,36,Male,No,1,35
Masters,2017,New Delhi,2,23,Male,No,1,22
Bachelors,2013,Bangalore,3,30,Male,No,3,27
Bachelors,2014,Bangalore,3,36,Male,No,0,36
Bachelors,2015,Pune,3,39,Male,No,4,35
Bachelors,2014,Bangalore,3,23,Female,No,1,22
PHD,2012,New Delhi,3,27,Male,No,5,22
Masters,2013,New Delhi,3,35,Male,No,2,33
Masters,2017,New Delhi,2,34,Male,No,0,34
Bachelors,2013,Bangalore,3,30,Female,No,1,29
PHD,2017,New Delhi,3,34,Male,No,2,32
Bachelors,2015,Pune,2,26,Female,No,4,22
Bachelors,2016,Bangalore,3,34,Female,No,0,34
Bachelors,2014,Bangalore,3,31,Female,Yes,5,26
Bachelors,2017,New Delhi,3,31,Female,Yes,5,26
PHD,2013,New Delhi,3,28,Male,No,2,26
Bachelors,2016,Bangalore,3,38,Male,No,2,36
Masters,2014,Pune,3,39,Female,No,2,37
Bachelors,2013,Pune,3,32,Male,No,4,28
Masters,2017,Pune,2,36,Male,No,2,34
Masters,2013,New Delhi,3,29,Male,No,3,26
Bachelors,2015,Bangalore,3,30,Male,No,5,25
PHD,2013,Bangalore,2,25,Male,No,3,22
Bachelors,2014,Pune,1,22,Female,No,0,22
Bachelors,2016,Bangalore,3,34,Male,No,4,30
Bachelors,2018,Bangalore,3,40,Male,No,1,39
PHD,2013,Bangalore,3,26,Male,No,4,22
Bachelors,2014,New Delhi,3,28,Male,No,0,28
Bachelors,2015,Bangalore,3,24,Female,No,2,22
Masters,2017,Bangalore,3,40,Female,No,2,38
Bachelors,2018,Bangalore,3,23,Female,No,1,22
Masters,2017,Bangalore,3,31,Male,No,4,27
Bachelors,2014,Pune,3,25,Female,No,3,22
Bachelors,2014,Bangalore,1,27,Male,No,5,22
Masters,2017,New Delhi,2,25,Female,No,3,22
Bachelors,2015,Bangalore,3,40,Male,No,0,40
Bachelors,2014,Bangalore,1,23,Female,No,1,22
Bachelors,2017,Bangalore,3,23,Female,No,1,22
Bachelors,2012,Bangalore,3,39,Male,No,1,38
PHD,2015,New Delhi,1,37,Male,No,1,36
Bachelors,2017,Pune,3,38,Male,No,2,36
Bachelors,2013,Bangalore,3,31,Female,No,0,31
Bachelors,2016,Bangalore,3,38,Male,No,5,33
Bachelors,2017,Bangalore,3,25,Female,No,3,22
Bachelors,2015,Bangalore,3,27,Female,Yes,5,22
Bachelors,2016,Pune,2,36,Male,No,0,36
Bachelors,2017,Pune,2,27,Female,No,5,22
Masters,2015,Pune,2,32,Female,No,4,28
Bachelors,2014,Bangalore,3,28,Male,No,4,24
Masters,2012,New Delhi,3,32,Male,No,2,30
Bachelors,2018,Bangalore,3,30,Male,No,0,30
Bachelors,2015,New Delhi,3,22,Male,No,0,22
Bachelors,2017,New Delhi,2,34,Female,No,5,29
Masters,2013,New Delhi,3,36,Male,No,2,34
Bachelors,2014,Bangalore,3,39,Male,No,3,36
PHD,2018,Bangalore,3,26,Male,No,4,22
Bachelors,2016,Bangalore,3,31,Female,No,0,31
Bachelors,2014,Bangalore,3,27,Male,No,5,22
Bachelors,2014,Bangalore,3,29,Female,No,0,29
Bachelors,2015,Bangalore,3,24,Female,No,2,22
Masters,2012,Pune,3,25,Male,No,3,22
Bachelors,2013,Pune,3,25,Male,No,3,22
Masters,2017,New Delhi,3,26,Female,No,4,22
Bachelors,2015,Pune,2,28,Female,Yes,1,27
Bachelors,2017,New Delhi,3,28,Male,No,2,26
Masters,2015,Pune,1,28,Female,No,3,25
Masters,2015,New Delhi,3,25,Male,No,3,22
Bachelors,2017,Bangalore,3,28,Male,No,1,27
Masters,2013,Pune,3,25,Male,No,3,22
Bachelors,2015,Bangalore,2,25,Female,No,3,22
Bachelors,2015,Bangalore,3,27,Female,No,5,22
Bachelors,2017,Pune,2,27,Female,No,5,22
Bachelors,2013,Bangalore,3,27,Male,No,5,22
Bachelors,2012,Bangalore,3,25,Male,No,3,22
Masters,2017,New Delhi,2,28,Male,No,2,26
Bachelors,2014,Pune,1,26,Female,No,4,22
Bachelors,2015,Bangalore,3,28,Male,No,2,26
Masters,2013,New Delhi,3,26,Male,No,4,22
Bachelors,2017,Bangalore,3,26,Female,No,4,22
Bachelors,2017,New Delhi,2,25,Male,No,3,22
Bachelors,2012,Bangalore,1,28,Female,No,3,25
PHD,2015,New Delhi,3,26,Male,No,4,22
Bachelors,2015,New Delhi,3,25,Female,No,3,22
Bachelors,2012,Bangalore,3,26,Male,No,4,22
Bachelors,2014,Bangalore,3,28,Female,No,3,25
Masters,2014,Pune,3,24,Male,No,2,22
Bachelors,2013,Bangalore,3,28,Male,No,1,27
Bachelors,2015,Pune,3,27,Male,No,5,22
Bachelors,2018,Bangalore,3,25,Male,No,3,22
Masters,2013,Pune,1,24,Male,No,2,22
Bachelors,2017,Bangalore,3,26,Female,No,4,22
Bachelors,2013,Bangalore,3,28,Male,No,1,27
Masters,2016,New Delhi,3,27,Male,No,5,22
Masters,2017,Bangalore,3,26,Male,No,4,22
Masters,2017,New Delhi,2,24,Male,No,2,22
Masters,2018,New Delhi,3,26,Male,No,4,22
Masters,2017,New Delhi,1,25,Female,No,3,22
Bachelors,2012,Pune,3,28,Male,No,2,26
Bachelors,2017,New Delhi,3,28,Male,No,2,26
Bachelors,2013,Bangalore,3,26,Male,No,4,22
Masters,2013,New Delhi,3,27,Male,No,5,22
Bachelors,2017,Pune,2,24,Female,No,2,22
Bachelors,2017,New Delhi,3,28,Female,No,2,26
Bachelors,2016,Bangalore,3,26,Male,No,4,22
Bachelors,2013,Bangalore,3,27,Female,No,5,22
Masters,2015,Pune,2,28,Female,No,3,25
Bachelors,2014,Bangalore,3,25,Male,No,3,22
Bachelors,2016,Pune,3,28,Male,No,1,27
Masters,2013,Bangalore,1,25,Male,No,3,22
Bachelors,2015,Pune,3,26,Male,No,4,22
Bachelors,2018,New Delhi,3,27,Female,No,5,22
Bachelors,2016,Bangalore,3,24,Male,No,2,22
Bachelors,2012,Pune,2,24,Female,No,2,22
Bachelors,2014,Bangalore,3,26,Male,No,4,22
Bachelors,2016,Pune,2,24,Female,No,2,22
